a	aa
घंठाघर	gh aa q Th AA gh aa r
घंठार	gh aa q Th AA r
घंडाघर	gh aa q D AA gh aa r
घंताघर	gh aa q t AA gh aa r
घंन	gh aa q n
घंड़घर	gh aa q D aa gh aa r
घट	gh aa T
घटकर	gh aa T aa k aa r
घटकार	gh aa T aa k AA r
घटगारन	gh aa T aa g AA r aa n
घटघर	gh aa T aa gh aa r
घटघार	gh aa T aa gh AA r
घटती	gh aa T aa t II
घटना	gh aa T aa n AA
घटनाघर	gh aa T aa n AA gh aa r
घटर	gh aa T aa r
घटा	gh aa T AA
घटांघर	gh aa T AA q gh aa r
घटाकर	gh aa T AA k aa r
घटाघर	gh aa T AA gh aa r
घटाघरम	gh aa T AA gh aa r aa m
घटाते	gh aa T AA t ee
घटारस	gh aa T AA r aa s
घटारे	gh aa T AA r ee
घटियाघर	gh aa T ii y AA gh aa r
घडंखर	gh aa D aa q kh aa r
घडी	gh aa D II
घण	gh aa N
घणटोघर	gh aa N aa T oo gh aa r
घण्डा	gh aa N D AA
घण्डाघर	gh aa N D AA gh aa r
घन	gh aa n
घनघर	gh aa n aa gh aa r
घने	gh aa n ee
घर	gh aa r
घरम	gh aa r aa m
घरो	gh aa r oo
घरों	gh aa r oo q
घल	gh aa l
घस	gh aa s
घा	gh AA
घाट	gh AA T
घाटकर	gh AA T aa k aa r
घाटकार	gh AA T aa k AA r
घाटघर	gh AA T aa gh aa r
घाटाघर	gh AA T AA gh aa r
घान	gh AA n
घाम	gh AA m
घायल	gh AA y aa l
घास	gh AA s
घु	gh uu
घुटना	gh uu T aa n AA
घुटाने	gh uu T AA n ee
घुम	gh uu m
घुस	gh uu s
घुसने	gh uu s aa n ee
घू	gh UU
घूठ	gh UU Th
घून	gh UU n
घूम	gh UU m
घूमता	gh UU m aa t AA
घूमने	gh UU m aa n ee
घूमा	gh UU m AA
घूमाने	gh UU m AA n ee
घूमे	gh UU m ee
घूमेगा	gh UU m ee g AA
घूमेगी	gh UU m ee g II
घूळ	gh UU l
घूस	gh UU s
घेऊ	gh ee UU
घेऊन	gh ee UU n
घेतला	gh ee t aa l AA
घेतली	gh ee t aa l II
घो	gh oo
घोंसला	gh oo q s aa l AA
घोडा	gh oo D AA
च	c
चँडा	c aa q D AA
चँदा	c aa q d AA
चँदाघर	c aa q d AA gh aa r
चंग	c aa q g
चंताखर	c aa q t AA kh aa r
चंदा	c aa q d AA
चंद्र	c aa q d r
चअ	c aa
चइन	c ii n
चक	c aa k
चकना	c aa k aa n AA
चका	c aa k AA
चक्कना	c aa k k aa n AA
चखना	c aa kh aa n AA
चखा	c aa kh AA
चखाना	c aa kh AA n AA
चट	c aa T
चटकान	c aa T aa k AA n
चड़िया	c aa D ii y AA
चढा	c aa Dh AA
चन्स	c aa n s
चप	c aa p
चपड़े	c aa p aa D ee
चम	c aa m
चमंडे	c aa m aa q D ee
चमक	c aa m aa k
चमकडे	c aa m aa k aa D ee
चमकलिथीं	c aa m aa k aa l ii th II q
चमकली	c aa m aa k aa l II
चमकहानी	c aa m aa k aa hh AA n II
चमकी	c aa m aa k II
चमकीते	c aa m aa k II t ee
चमकीनी	c aa m aa k II n II
चमकील	c aa m aa k II l
चमकीला	c aa m aa k II l AA
चमकीलि	c aa m aa k II l ii
चमकीली	c aa m aa k II l II
चमकीले	c aa m aa k II l ee
चमकील्य	c aa m aa k II l y
चमके	c aa m aa k ee
चमखड़े	c aa m aa kh aa D ee
चमच	c aa m aa c
चमचे	c aa m aa c ee
चमटे	c aa m aa T ee
चमड	c aa m aa D
चमडी	c aa m aa D II
चमडे	c aa m aa D ee
चमडो	c aa m aa D oo
चमतीली	c aa m aa t II l II
चमते	c aa m aa t ee
चमदे	c aa m aa d ee
चमने	c aa m aa n ee
चमबड़े	c aa m aa b aa D ee
चमरे	c aa m aa r ee
चमली	c aa m aa l II
चमले	c aa m aa l ee
चमि	c aa m ii
चमेरे	c aa m ee r ee
चमेड़	c aa m ee D
चमेड़े	c aa m ee D ee
चम्प	c aa m p
चम्पे	c aa m p ee
चमड़दे	c aa m aa D aa d ee
चमड़े	c aa m aa D ee
चय	c aa y
चयेर	c aa y ee r
चर	c aa r
चर्म	c aa r m
चल	c aa l
चलकोना	c aa l aa k oo n AA
चलता	c aa l aa t AA
चलती	c aa l aa t II
चलना	c aa l aa n AA
चलनी	c aa l aa n II
चलने	c aa l aa n ee
चला	c aa l AA
चलाना	c aa l AA n AA
चली	c aa l II
चले	c aa l ee
चलेगा	c aa l ee g AA
चलो	c aa l oo
चसेट	c aa s ee T
चसेड	c aa s ee D
चह	c aa hh
चहक	c aa hh aa k
चहकन	c aa hh aa k aa n
चहकना	c aa hh aa k aa n AA
चहकनी	c aa hh aa k aa n II
चहकने	c aa hh aa k aa n ee
चहकर	c aa hh aa k aa r
चहका	c aa hh aa k AA
चहकान	c aa hh aa k AA n
चहकाना	c aa hh aa k AA n AA
चहकाने	c aa hh aa k AA n ee
चहख	c aa hh aa kh
चहखाना	c aa hh aa kh AA n AA
चहचहाना	c aa hh aa c aa hh AA n AA
चहतना	c aa hh aa t aa n AA
चहदना	c aa hh aa d aa n AA
चहन	c aa hh aa n
चहनका	c aa hh aa n aa k AA
चहना	c aa hh aa n AA
चहने	c aa hh aa n ee
चहन्न	c aa hh aa n n
चहरी	c aa hh aa r II
चहरे	c aa hh aa r ee
चहा	c aa hh AA
चहाकना	c aa hh AA k aa n AA
चहिए	c aa hh ii ee
चहिरेन	c aa hh ii r ee n
चहेकना	c aa hh ee k aa n AA
चहेकाना	c aa hh ee k AA n AA
चहेना	c aa hh ee n AA
चा	c AA
चाँद	c AA q d
चाअमर	c AA aa m aa r
चाईस	c AA II s
चाएं	c AA ee q
चाचा	c AA c AA
चाने	c AA n ee
चाय	c AA y
चाये	c AA y ee
चार	c AA r
चारो	c AA r oo
चार्ज	c AA r j
चाल	c AA l
चालत	c AA l aa t
चावल	c AA w aa l
चाश	c AA sh
चास	c AA s
चाह	c AA hh
चाहते	c AA hh aa t ee
चाहा	c AA hh AA
चाहाकना	c AA hh AA k aa n AA
चाहाकर	c AA hh AA k aa r
चाहिए	c AA hh ii ee
चाहिहे	c AA hh ii hh ee
चाहे	c AA hh ee
चि	c ii
चिंकू	c ii q k UU
चिंटाघर	c ii q T AA gh aa r
चिंटु	c ii q T uu
चिंटू	c ii q T UU
चिकम	c ii k aa m
चिकू	c ii k UU
चिखना	c ii kh aa n AA
चिखने	c ii kh aa n ee
चिट	c ii T
चिटकर	c ii T aa k aa r
चिटकू	c ii T aa k UU
चिटल	c ii T aa l
चिटी	c ii T II
चिडकर	c ii D aa k aa r
चिडका	c ii D aa k AA
चिड़ि	c ii D ii
चिड़ियर	c ii D ii y aa r
चिड़िया	c ii D ii y AA
चिड़ियांक	c ii D ii y AA q k
चिड़ियाने	c ii D ii y AA n ee
चिड़िये	c ii D ii y ee
चिड़ियो	c ii D ii y oo
चिड़ियों	c ii D ii y oo q
चिडा	c ii D AA
चिडियाँ	c ii D ii y AA q
चिडी	c ii D II
चिडींग	c ii D II q g
चिदिंग	c ii d ii q g
चिनिया	c ii n ii y AA
चिनीया	c ii n II y AA
चिन्स	c ii n s
चिम	c ii m
चिमकी	c ii m aa k II
चिमच	c ii m aa c
चिया	c ii y AA
चिरिंग	c ii r ii q g
चिरिया	c ii r ii y AA
चिरियो	c ii r ii y oo
चिरीया	c ii r II y AA
चिला	c ii l AA
चिलिया	c ii l ii y AA
चिल्ला	c ii l l AA
चिल्लाता	c ii l l AA t AA
चिल्लाने	c ii l l AA n ee
चिहल	c ii hh aa l
चिड़िया	c ii D ii y AA
चिड़ियाँ	c ii D ii y AA q
ची	c II
चींटी	c II q T II
चीकु	c II k uu
चीकू	c II k UU
चीखना	c II kh aa n AA
चीखी	c II kh II
चीज़	c II j
चीज़े	c II j ee
चीज़ो	c II j oo
चीजें	c II j ee q
चीजों	c II j oo q
चीट	c II T
चीटर	c II T aa r
चीटु	c II T uu
चीटू	c II T UU
चीतल	c II t aa l
चीन	c II n
चीमकीली	c II m aa k II l II
चीमड़े	c II m aa D ee
चीलो	c II l oo
चीहकना	c II hh aa k aa n AA
चीड़	c II D
चीड़ों	c II D oo q
चु	c uu
चुइया	c uu ii y AA
चुक	c uu k
चुकवून	c uu k aa w UU n
चुकाएगी	c uu k AA ee g II
चुकाने	c uu k AA n ee
चुकि	c uu k ii
चुग	c uu g
चुच	c uu c
चुट	c uu T
चुटंन	c uu T aa q n
चुटकी	c uu T aa k II
चुटाना	c uu T AA n AA
चुटाने	c uu T AA n ee
चुड़िय	c uu D ii y
चुड़िया	c uu D ii y AA
चुडाने	c uu D AA n ee
चुडीया	c uu D II y AA
चुती	c uu t II
चुध	c uu dh
चुनने	c uu n aa n ee
चुनस	c uu n aa s
चुप	c uu p
चुपके	c uu p aa k ee
चुबने	c uu b aa n ee
चुभ	c uu bh
चुभे	c uu bh ee
चुम	c uu m
चुम्बर	c uu m b aa r
चुहरे	c uu hh aa r ee
चू	c UU
चूंक	c UU q k
चूकी	c UU k II
चूज़	c UU j
चूट	c UU T
चूटने	c UU T aa n ee
चूठाने	c UU Th AA n ee
चूना	c UU n AA
चूपणे	c UU p aa N ee
चूब	c UU b
चूसेन	c UU s ee n
चूहा	c UU hh AA
चूही	c UU hh II
चे	c ee
चेंज	c ee q j
चेंजेड	c ee q j ee D
चेंजेन	c ee q j ee n
चेंस्ड	c ee q s D
चेक	c ee k
चेकना	c ee k aa n AA
चेकिंग	c ee k ii q g
चेचे	c ee c ee
चेट	c ee T
चेयरे	c ee y aa r ee
चेर	c ee r
चेल	c ee l
चेसेट	c ee s ee T
चेसेड	c ee s ee D
चेह	c ee hh
चेहकना	c ee hh aa k aa n AA
चेहका	c ee hh aa k AA
चेहकाना	c ee hh aa k AA n AA
चेहडे	c ee hh aa D ee
चेहना	c ee hh aa n AA
चेहर	c ee hh aa r
चेहरा	c ee hh aa r AA
चेहरी	c ee hh aa r II
चेहरे	c ee hh aa r ee
चेहरो	c ee hh aa r oo
चेहले	c ee hh aa l ee
चेहहे	c ee hh aa hh ee
चेहा	c ee hh AA
चेहे	c ee hh ee
चेहेक	c ee hh ee k
चेहेकना	c ee hh ee k aa n AA
चेहेकने	c ee hh ee k aa n ee
चेहेका	c ee hh ee k AA
चेहेकान	c ee hh ee k AA n
चेहेकाना	c ee hh ee k AA n AA
चेहेर	c ee hh ee r
चेहेरा	c ee hh ee r AA
चेहेलक	c ee hh ee l aa k
चेहेले	c ee hh ee l ee
चैन्जेद	c ee n j ee d
चॉइट	c OO ii T
चॉब्लिट्स	c OO b l ii T s
चो	c oo
चोंच	c oo q c
चोट	c oo T
चोटने	c oo T aa n ee
चोटी	c oo T II
चोर	c oo r
चौ	c OO
चौं	c OO q
चौईस	c OO II s
चौकी	c OO k II
चौथे	c OO th ee
च्चों	c c oo q
च्या	c y AA
च्वेंट	c w ee q T
चड़क	c aa D aa k
चढ़ने	c aa Dh aa n ee
छ	ch
छट	ch aa T
छड़	ch aa D
छढके	ch aa Dh aa k ee
छत	ch aa t
छन	ch aa n
छप	ch aa p
छब	ch aa b
छम	ch aa m
छयरे	ch aa y aa r ee
छल	ch aa l
छलो	ch aa l oo
छा	ch AA
छाए	ch AA ee
छात	ch AA t
छाता	ch AA t AA
छाते	ch AA t ee
छाया	ch AA y AA
छाये	ch AA y ee
छाला	ch AA l AA
छालों	ch AA l oo q
छि	ch ii
छिखाया	ch ii kh AA y AA
छिट	ch ii T
छित	ch ii t
छिन	ch ii n
छी	ch II
छीं	ch II q
छीकाया	ch II k AA y AA
छु	ch uu
छुकते	ch uu k aa t ee
छुटक	ch uu T aa k
छुटकू	ch uu T aa k UU
छुटना	ch uu T aa n AA
छुटाते	ch uu T AA t ee
छुटाने	ch uu T AA n ee
छुडाने	ch uu D AA n ee
छुनाना	ch uu n AA n AA
छुब	ch uu b
छूट	ch UU T
छूटाने	ch UU T AA n ee
छे	ch ee
छो	ch oo
छोट	ch oo T
छोटा	ch oo T AA
छोटी	ch oo T II
छोटीम	ch oo T II m
छोटीसी	ch oo T II s II
छोटे	ch oo T ee
छोड़	ch oo D
छोड़कर	ch oo D aa k aa r
छोड़ते	ch oo D aa t ee
छोती	ch oo t II
छोनी	ch oo n II
छोहरिअ	ch oo hh aa r ii aa
छोड़ती	ch oo D aa t II
छोड़ने	ch oo D aa n ee
छोड़ा	ch oo D AA
छ्त	ch t
छड़ी	ch aa D II
ज	j
जंक	j aa q k
जंकी	j aa q k II
जंग	j aa q g
जंगल	j aa q g aa l
जंगलों	j aa q g aa l oo q
जंग्स	j aa q g s
जंडगाघर	j aa q D aa g AA gh aa r
जंपेड	j aa q p ee D
जइ	j ii
जक	j aa k
जक्कल	j aa k k aa l
जक्स	j aa k s
जग	j aa g
जगह	j aa g aa hh
जगहा	j aa g aa hh AA
जगा	j aa g AA
जटाने	j aa T AA n ee
जड्ज	j aa D j
जताना	j aa t AA n AA
जताने	j aa t AA n ee
जताम	j aa t AA m
जन	j aa n
जनम	j aa n aa m
जनरस	j aa n aa r aa s
जनसंख्या	j aa n aa s aa q kh y AA
जनी	j aa n II
जनेस	j aa n ee s
जन्कल	j aa n k aa l
जप्ड	j aa p D
जब	j aa b
जबू	j aa b UU
जबड़े	j aa b aa D ee
जम	j aa m
जमिन	j aa m ii n
जमीन	j aa m II n
जम्पटेड	j aa m p aa T ee D
जम्पे	j aa m p ee
जम्ब	j aa m b
जम्बू	j aa m b UU
जम्बो	j aa m b oo
जम्मि	j aa m m ii
जम्मो	j aa m m oo
जमड़े	j aa m aa D ee
जय	j aa y
जर	j aa r
जरु	j aa r uu
जरू	j aa r UU
जरूत	j aa r UU t
जरूता	j aa r UU t AA
जरूर	j aa r UU r
जरूरत	j aa r UU r aa t
जरूरी	j aa r UU r II
जरूवत	j aa r UU w aa t
जल	j aa l
जलबी	j aa l aa b II
जलसी	j aa l aa s II
जले	j aa l ee
जलेबियाँ	j aa l ee b ii y AA q
जलेबी	j aa l ee b II
जलेबीए	j aa l ee b II ee
जल्दी	j aa l d II
जवळची	j aa w aa l aa c II
जवुरत	j aa w uu r aa t
जश	j aa sh
जस	j aa s
जसमें	j aa s aa m ee q
जस्टिफ	j aa s T ii ph
जहर	j aa hh aa r
जहा	j aa hh AA
ज़माना	j aa m AA n AA
ज़ोर	j oo r
ज़्यादा	j y AA d AA
ज़्यूकी	j y UU k II
जा	j AA
जाइ	j AA ii
जाइए	j AA ii ee
जाइन	j AA ii n
जाई	j AA II
जाऊ	j AA UU
जाऊन	j AA UU n
जाए	j AA ee
जाएँगे	j AA ee q g ee
जाएं	j AA ee q
जाएंगे	j AA ee q g ee
जाएगा	j AA ee g AA
जाएगी	j AA ee g II
जाओ	j AA oo
जाकर	j AA k aa r
जाके	j AA k ee
जाग	j AA g
जाजत	j AA j aa t
जाजा	j AA j AA
जात	j AA t
जाता	j AA t AA
जाताय	j AA t AA y
जाती	j AA t II
जाते	j AA t ee
जात्रा	j AA t r AA
जानते	j AA n aa t ee
जानवर	j AA n aa w aa r
जानवरों	j AA n aa w aa r oo q
जाना	j AA n AA
जाने	j AA n ee
जाम	j AA m
जामडे	j AA m aa D ee
जामिन	j AA m ii n
जाया	j AA y AA
जायिंट	j AA y ii q T
जाये	j AA y ee
जायेंगे	j AA y ee q g ee
जारी	j AA r II
जाल	j AA l
जाव	j AA w
जाहकने	j AA hh aa k aa n ee
जाॅल	j AA ae l
जि	j ii
जिअ	j ii aa
जिजन	j ii j aa n
जिझिल	j ii jh ii l
जितना	j ii t aa n AA
जितनी	j ii t aa n II
जितने	j ii t aa n ee
जिन	j ii n
जिनकी	j ii n aa k II
जिनके	j ii n aa k ee
जिनको	j ii n aa k oo
जिनमें	j ii n aa m ee q
जिनमे	j ii n aa m ee
जिनसे	j ii n aa s ee
जिनि	j ii n ii
जिम	j ii m
जिमन	j ii m aa n
जिमोद	j ii m oo d
जिम्बो	j ii m b oo
जिम्स	j ii m s
जियलाइफ	j ii y aa l AA ii ph
जियाष्टिक	j ii y AA sh T ii k
जिये	j ii y ee
जियो	j ii y oo
जिस	j ii s
जिसका	j ii s aa k AA
जिसके	j ii s aa k ee
जिसको	j ii s aa k oo
जिसनं	j ii s aa n aa q
जिसने	j ii s aa n ee
जिसब	j ii s aa b
जिसमे	j ii s aa m ee
जिसमें	j ii s aa m ee q
जिसवे	j ii s aa w ee
जिसस	j ii s aa s
जिससे	j ii s aa s ee
जिसे	j ii s ee
जिसेस	j ii s ee s
जिसेसे	j ii s ee s ee
जिस्से	j ii s s ee
जी	j II
जीएंगे	j II ee q g ee
जीडीपेज्	j II D II p ee j
जीफ	j II ph
जीव	j II w
जीवन	j II w aa n
जीसे	j II s ee
जु	j uu
जुंढो	j uu q Dh oo
जुईशी	j uu II sh II
जुगा	j uu g AA
जुगाड़	j uu g AA D
जुट	j uu T
जुटना	j uu T aa n AA
जुटने	j uu T aa n ee
जुटवा	j uu T aa w AA
जुटा	j uu T AA
जुटाके	j uu T AA k ee
जुटाते	j uu T AA t ee
जुटान	j uu T AA n
जुटाना	j uu T AA n AA
जुटाने	j uu T AA n ee
जुटाय	j uu T AA y
जुटाल	j uu T AA l
जुठने	j uu Th aa n ee
जुठाने	j uu Th AA n ee
जुडा	j uu D AA
जुडाते	j uu D AA t ee
जुडाना	j uu D AA n AA
जुडाने	j uu D AA n ee
जुढो	j uu Dh oo
जुत	j uu t
जुतन	j uu t aa n
जुतने	j uu t aa n ee
जुता	j uu t AA
जुताने	j uu t AA n ee
जुनते	j uu n aa t ee
जुनी	j uu n II
जुब	j uu b
जुमोद	j uu m oo d
जुम्बा	j uu m b AA
जुम्बू	j uu m b UU
जुम्बो	j uu m b oo
जुला	j uu l AA
जुलाता	j uu l AA t AA
जुसी	j uu s II
जूट	j UU T
जूता	j UU t AA
जून्ढू	j UU n Dh UU
जूम	j UU m
जूम्बो	j UU m b oo
जूस	j UU s
जॅकले	j ae k aa l ee
जॅगड	j ae g aa D
जॅना	j ae n AA
जॅनी	j ae n II
जॅम्बो	j ae m b oo
जॅरी	j ae r II
जे	j ee
जेंकी	j ee q k II
जेंगल	j ee q g aa l
जेंड	j ee q D
जेकल	j ee k aa l
जेक्का	j ee k k AA
जेक्की	j ee k k II
जेमस	j ee m aa s
जेयराप	j ee y aa r AA p
जेरिंग	j ee r ii q g
जेरीज	j ee r II j
जेली	j ee l II
जेस	j ee s
जेसे	j ee s ee
जेस्सी	j ee s s II
जैके	j ee k ee
जैलस	j ee l aa s
जैलसी	j ee l aa s II
जैसी	j ee s II
जैसे	j ee s ee
जैसें	j ee s ee q
जॉ	j OO
जॉइस	j OO ii s
जॉकी	j OO k II
जॉनर	j OO n aa r
जॉन्की	j OO n k II
जो	j oo
जोक	j oo k
जोकल	j oo k aa l
जोड	j oo D
जोम	j oo m
जोर	j oo r
जोर्जिअस	j oo r j ii aa s
जोड़ने	j oo D aa n ee
ज्ञ	j n j
ज्ञा	j n j AA
ज्ञान	j n j AA n
ज्या	j y AA
ज्याड	j y AA D
ज्यादा	j y AA d AA
ज्यो	j y oo
ज्रंग	j r aa q g
ज्स	j s
झ	jh
झंडे	jh aa q D ee
झट	jh aa T
झनताझर	jh aa n aa t AA jh aa r
झा	jh AA
झाड	jh AA D
झाडावर	jh AA D AA w aa r
झाडावरून	jh AA D AA w aa r UU n
झील	jh II l
झु	jh uu
झुक	jh uu k
झुका	jh uu k AA
झुटाने	jh uu T AA n ee
झुना	jh uu n AA
झुब	jh uu b
झुम्बा	jh uu m b AA
झुल	jh uu l
झुलता	jh uu l aa t AA
झुलते	jh uu l aa t ee
झुला	jh uu l AA
झुले	jh uu l ee
झू	jh UU
झूट	jh UU T
झूम	jh UU m
झूल	jh UU l
झूलते	jh UU l aa t ee
झूलने	jh UU l aa n ee
झूला	jh UU l AA
झूले	jh UU l ee
झेकल	jh ee k aa l
झेन	jh ee n
झेनझी	jh ee n aa jh II
झो	jh oo
झोथने	jh oo th aa n ee
झोल	jh oo l
झोला	jh oo l AA
झोले	jh oo l ee
ट	T
टंक	T aa q k
टंग	T aa q g
टक	T aa k
टकर	T aa k aa r
टके	T aa k ee
टच	T aa c
टटोइज	T aa T oo ii j
टटोयज	T aa T oo y aa j
टण्ट	T aa N T
टत	T aa t
टन	T aa n
टनट्स	T aa n aa T s
टने	T aa n ee
टन्क	T aa n k
टप	T aa p
टमाटर	T aa m AA T aa r
टम्बशन	T aa m b aa sh aa n
टयाप	T aa y AA p
टर	T aa r
टरेक्ट	T aa r ee k T
टल	T aa l
टस्ट	T aa s T
टह	T aa hh
टहकनि	T aa hh aa k aa n ii
टा	T AA
टाइन	T AA ii n
टाइन्ट	T AA ii n T
टाइम	T AA ii m
टाइमे	T AA ii m ee
टाउन	T AA uu n
टागटेड	T AA g aa T ee D
टाघर	T AA gh aa r
टाने	T AA n ee
टायड	T AA y aa D
टार	T AA r
टारगेस	T AA r aa g ee s
टार्स	T AA r s
टाल	T AA l
टावर	T AA w aa r
टावर्स	T AA w aa r s
टि	T ii
टिं	T ii q
टिंकू	T ii q k UU
टिंग	T ii q g
टिंगू	T ii q g UU
टिक	T ii k
टिका	T ii k AA
टिकु	T ii k uu
टिकू	T ii k UU
टिकेट	T ii k ee T
टिकेस	T ii k ee s
टिग	T ii g
टिचर	T ii c aa r
टिटनस	T ii T aa n aa s
टिटस	T ii T aa s
टिटॅनस	T ii T ae n aa s
टिड	T ii D
टिडे	T ii D ee
टिन्की	T ii n k II
टिमिट	T ii m ii T
टिव	T ii w
टिस	T ii s
टिसिंग	T ii s ii q g
टिस्ट	T ii s T
टी	T II
टीं	T II q
टींक	T II q k
टींकी	T II q k II
टींकू	T II q k UU
टींग	T II q g
टींगु	T II q g uu
टींगू	T II q g UU
टींचू	T II q c UU
टींटु	T II q T uu
टींतू	T II q t UU
टीक	T II k
टीका	T II k AA
टीकू	T II k UU
टीच	T II c
टीचर	T II c aa r
टीचरस	T II c aa r aa s
टीचरो	T II c aa r oo
टीचरों	T II c aa r oo q
टीचर्स	T II c aa r s
टीचल	T II c aa l
टीज	T II j
टीट	T II T
टीटनेस	T II T aa n ee s
टीटू	T II T UU
टीड	T II D
टीड़ों	T II D oo q
टीन	T II n
टीनकु	T II n aa k uu
टीप	T II p
टीमचर	T II m aa c aa r
टीम्ट	T II m T
टील	T II l
टीस	T II s
टीसिंग	T II s ii q g
टु	T uu
टुंग	T uu q g
टुअर्स	T uu aa r s
टुक	T uu k
टुकड़ा	T uu k aa D AA
टुकड़ाल	T uu k aa D AA l
टुकरा	T uu k aa r AA
टुकराल	T uu k aa r AA l
टुकरे	T uu k aa r ee
टुकला	T uu k aa l AA
टुकार	T uu k AA r
टुकी	T uu k II
टुक्ट	T uu k T
टुगला	T uu g aa l AA
टुज	T uu j
टुटुटोय्स	T uu T uu T oo y s
टुडका	T uu D aa k AA
टुडे	T uu D ee
टुड्रा	T uu D r AA
टुद	T uu d
टुप	T uu p
टुम	T uu m
टुमॉरो	T uu m OO r oo
टुर	T uu r
टुरिंग	T uu r ii q g
टुवट	T uu w aa T
टुवस	T uu w aa s
टुवेल	T uu w ee l
टू	T UU
टूक	T UU k
टूकी	T UU k II
टूट	T UU T
टूबील	T UU b II l
टॅ	T ae
टॅंट्रम्स	T ae q T r aa m s
टॅक	T ae k
टॅट	T ae T
टॅड	T ae D
टॅनटन्स	T ae n aa T aa n s
टॅनी	T ae n II
टॅरेटेड	T ae r ee T ee D
टॅल	T ae l
टे	T ee
टेंटेस	T ee q T ee s
टेकल	T ee k aa l
टेक्ड	T ee k D
टेक्निक	T ee k n ii k
टेक्सी	T ee k s II
टेजिंग	T ee j ii q g
टेटीटन्स	T ee T II T aa n s
टेटेस	T ee T ee s
टेड	T ee D
टेत	T ee t
टेनिंग	T ee n ii q g
टेम्पर	T ee m p aa r
टेरट	T ee r aa T
टेरटेड	T ee r aa T ee D
टेरिअर	T ee r ii aa r
टेर्टोटॉइज	T ee r T oo T OO ii j
टेल्क	T ee l k
टेल्ड	T ee l D
टेश	T ee sh
टेस	T ee s
टेसिंग	T ee s ii q g
टेसेस	T ee s ee s
टेस्टी	T ee s T II
टैकलेक	T ee k aa l ee k
टैकेल	T ee k ee l
टॉ	T OO
टॉइट	T OO ii T
टॉउचर	T OO uu c aa r
टॉएट	T OO ee T
टॉकेड	T OO k ee D
टॉच	T OO c
टॉटिस	T OO T ii s
टॉपर	T OO p aa r
टॉफ	T OO ph
टॉम्बोस्टोंस	T OO m b oo s T oo q s
टॉर्को	T OO r k oo
टॉलरे	T OO l aa r ee
टॉवड	T OO w aa D
टॉवल	T OO w aa l
टो	T oo
टोँब्स	T oo q b s
टोंग	T oo q g
टोक	T oo k
टोकरी	T oo k aa r II
टोटरीज	T oo T aa r II j
टोटाटिस	T oo T AA T ii s
टोटायसेस	T oo T AA y aa s ee s
टोटिज	T oo T ii j
टोटॉय	T oo T OO y
टोटोईज	T oo T oo II j
टोटोज	T oo T oo j
टोटोटाइज	T oo T oo T AA ii j
टोटोटाईज	T oo T oo T AA II j
टोटोटोइज	T oo T oo T oo ii j
टोटोटोय्ज	T oo T oo T oo y j
टोटोटोय्स	T oo T oo T oo y s
टोटोपीस	T oo T oo p II s
टोटोयज	T oo T oo y aa j
टोटोसेस	T oo T oo s ee s
टोन्स	T oo n s
टोपॅटोज	T oo p ae T oo j
टोबस	T oo b aa s
टोम्ब	T oo m b
टोम्बल्स	T oo m b aa l s
टोम्बस्टोंस	T oo m b aa s T oo q s
टोम्बस्टोन्सेस	T oo m b aa s T oo n s ee s
टोम्बेस	T oo m b ee s
टोम्ब्स	T oo m b s
टोम्ब्स्टोन	T oo m b s T oo n
टोम्स	T oo m s
टोर	T oo r
टोरंटोइस	T oo r aa q T oo ii s
टोरटोराइज	T oo r aa T oo r AA ii j
टोरटोरिज	T oo r aa T oo r ii j
टोरलेट	T oo r aa l ee T
टोर्टस	T oo r T aa s
टोर्टिस	T oo r T ii s
टोर्टोटॉईज	T oo r T oo T OO II j
टोर्टोटोइज	T oo r T oo T oo ii j
टोर्टोडाईज़	T oo r T oo D AA II z
टोर्टोज़	T oo r T oo z
टोर्थ	T oo r th
टोर्न्स	T oo r n s
टोल	T oo l
टोलटस	T oo l aa T aa s
टोलिरेट	T oo l ii r ee T
टोवड	T oo w aa D
टोवर्स	T oo w aa r s
टौटस	T OO T aa s
टौर्वड्स	T OO r w aa D s
टौवर्स	T OO w aa r s
ट्म	T m
ट्यु	T y uu
ट्युअस	T y uu aa s
ट्युकु	T y uu k uu
ट्युज	T y uu j
ट्यूसडे	T y UU s aa D ee
ट्र	T r
ट्रंट	T r aa q T
ट्रंड	T r aa q D
ट्रकल्ड	T r aa k aa l D
ट्रग	T r aa g
ट्रगल	T r aa g aa l
ट्रगल्ड	T r aa g aa l D
ट्रगेड	T r aa g ee D
ट्रग्ड	T r aa g D
ट्रड	T r aa D
ट्रनेड	T r aa n ee D
ट्रम्ब	T r aa m b
ट्रम्बल	T r aa m b aa l
ट्रम्बलिंग	T r aa m b aa l ii q g
ट्रम्बल्स	T r aa m b aa l s
ट्रम्स	T r aa m s
ट्रस	T r aa s
ट्रसेस	T r aa s ee s
ट्रस्ट	T r aa s T
ट्राइ	T r AA ii
ट्राइंगिन	T r AA ii q g ii n
ट्राइग	T r AA ii g
ट्राइज	T r AA ii j
ट्राइट	T r AA ii T
ट्राइनटिड	T r AA ii n aa T ii D
ट्राप	T r AA p
ट्राम	T r AA m
ट्रिंक	T r ii q k
ट्रिएंड	T r ii ee q D
ट्रिब	T r ii b
ट्रिबल्	T r ii b aa l
ट्रिबल्स	T r ii b aa l s
ट्रिब्स	T r ii b s
ट्रिव	T r ii w
ट्रीट	T r II T
ट्रीड	T r II D
